Start Date;01/01/2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;26/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ATO FP Equity;FP FP Equity;EN FP Equity;ADP FP Equity;AI FP Equity;AIR FP Equity;AMS SM Equity;AZN LN Equity;TEAM US Equity;ATO FP Equity;BKT SM Equity;BKG LN Equity;BIM FP Equity;BMW GR Equity;BNP FP Equity;BOBNN SW Equity;EN FP Equity;BP/ LN Equity;BTVCY US Equity;BNZL LN Equity;BVI FP Equity;CPG LN Equity;CPG LN Equity;1COV GY Equity;CRDA LN Equity;BN FP Equity;DAL IM Equity;DGE LN Equity;DPLM LN Equity;EDENFP CorpTicker;FGR FP Equity;ESSITYB SS Equity;ERF FP Equity;EXPN LN Equity;FNAC FP Equity;FRE GY Equity;GEBN SW Equity;GIVN SW Equity;HLMA LN Equity;HAS LN Equity;HENKEL HB Equity;ICON LN Equity;IMA IM Equity;ITX SM Equity;INGA NA Equity;ITRK LN Equity;KOMB CP Equity;KONE AV Equity;LH US Equity;LR FP Equity;MC FP Equity;MARR IM Equity;MDT US Equity;ML FP Equity;NESN SW Equity;RI FP Equity;POM FP Equity;RB/ LN Equity;RIO LN Equity;ROG SW Equity;ROR LN Equity;RUI FP Equity;SGE LN Equity;SAN FP Equity;SAP GY Equity;SLB US Equity;SU FP Equity;GLE FP Equity;SW FP Equity;STAN LN Equity;THEP FP Equity;TOTAL 3.875 PERP REGS Corp;UPM FH Equity;FR FP Equity;VIE FP Equity;DG FP Equity;WDI GY Equity;MRW LN Equity
12/01/2017;77,1679;48,695;33,885;101,1;86,1157;64,69;44,08;4555,5;26,81;77,1679;7,497;2882;48,7;88,185;60,55;71,95;33,885;515,4;13,75;2127;18,855;1524,64;1524,64;63,45;3404,049;60,79;18,97;2176,5;1033;#N/A N/A;68;#N/A N/A;408,2;1597;62;72,63;412,7;1851;940;157,5;#N/A N/A;14,375;59,3;31,62;13,5;3550;885;#N/A N/A;134,65;53,73;186,55;17,32;75,11;104,5;74,45;104,15;31,68;6848;3404,5;235,9;264,2;39,26;665;76,54;83,58;85,33;67,3;45,88;104,45;703,2;42;105,709;23,31;54,45;15,31;65,51;41,645;239
13/01/2017;77,9619;48,845;35,28;104,15;86,7355;65,64;43,75;4609;26,91;77,9619;7,612;2909;48,7167;87,6;62,16;71,9;35,28;518;14,68;2136;18,72;1518,4;1518,4;63,38;3419,415;60,53;19,39;2197,5;1033;#N/A N/A;68,17;#N/A N/A;413;1601;61,01;73,33;414;1848;940;157;#N/A N/A;14,375;60,25;31,93;13,775;3547;887;#N/A N/A;134,33;54,32;188,95;17,5;75,09;105,9;74,5;106,2;32;6845;3417,5;239;266;39,105;674,5;78,07;84,18;84,82;67,85;47,475;103,75;718,5;42;105,699;23,66;56,19;15,355;65,72;41,26;241,9
16/01/2017;76,9033;48,46;34,9;103,45;85,0413;65,18;43,52;4575,5;26,91;76,9033;7,499;2839;49,1167;86,647;61,21;71,2;34,9;512,6;14,68;2155;18,625;1523,6;1523,6;63,89;3420,439;60,31;19,33;2195,5;1008;#N/A N/A;67,71;#N/A N/A;413,1;1612;60;74,05;415,2;1825;942,5;155,8;#N/A N/A;14,125;61,15;31,585;13,51;3563;882;#N/A N/A;134,33;54,06;187,55;17,6;75,09;104,05;74,05;105,9;31,7;6955;3488;235,6;265,6;39,215;673,5;76,81;83,73;84,82;67,37;46,26;104,4;724,3;42,13;105,63;23,65;55,48;15,285;65,47;42,54;240,9
17/01/2017;76,9411;48,195;34,5;103,4;84,7107;65,35;43,25;4530,5;26,63;76,9411;7,525;2897;49,0833;86,339;60,56;69,65;34,5;502;14,68;2112;18,315;1482;1482;65,16;3394,83;59,94;19,31;2131,5;1000;#N/A N/A;67,25;#N/A N/A;408,15;1578;60;73,82;424,6;1814;936;155,7;#N/A N/A;14,125;60,9;31,395;13,46;3449;881,1;#N/A N/A;133,99;53,83;186,85;17,75;75,82;104,25;73,35;105,25;31,745;6772;3410,5;234,7;260,7;39,155;659,5;76,12;83,47;86,43;67,34;45,825;103,7;744,7;42,02;105,546;23,53;55,56;15,555;64,99;42,18;238,3
18/01/2017;77,0545;48,255;34,21;102,85;84,6281;64,84;43,635;4580,5;27,2;77,0545;7,619;2890;48,9833;86,881;59,69;70,9;34,21;505,1;14,68;2137;17,885;1506,96;1506,96;66,78;3406,098;59,96;19,22;2161;1010;#N/A N/A;67,74;#N/A N/A;410,75;1551;60,78;74,42;424,2;1806;940,5;155,1;#N/A N/A;13,875;61;31,35;13,31;3462;886,7;#N/A N/A;134,39;53,77;188,1;17,9;75,67;103,6;73,75;106,8;31,525;6840;3499;235,6;261,4;39,07;649;76,5;83,6;87,48;67,41;45,515;102,8;745,5;42;105,653;23,79;55,24;15,46;65,16;42,915;238,9
19/01/2017;76,6008;47,615;34,06;104,9;85,3306;65,48;43,565;4468,5;27,42;76,6008;7,615;2865;50,5;86,313;59,76;71,35;34,06;499,15;14,68;2127;17,72;1472,64;1472,64;66,63;3431,708;59,69;19,12;2162;1009;#N/A N/A;67,78;#N/A N/A;413,75;1534;61,2;73,87;422,4;1818;933;154,5;#N/A N/A;13,125;61,45;31,225;13,275;3478;885;#N/A N/A;132,74;53,66;190;17,88;75,3;103,15;73,2;108,45;31,95;6876;3458,5;233;261,1;38,62;643;75,77;83,99;87,2;67,55;45,7;103,15;748;42,125;105,896;23,93;55,5;15,495;65,18;44,285;241,1
20/01/2017;76,1093;48,115;34,975;105,15;85,1653;65,34;43,13;4318,5;28,03;76,1093;7,631;2787;50,6;86,843;60,06;71,2;34,975;498,35;14,68;2136;17,97;1464,32;1464,32;68,65;3452,195;59,25;19,4;2152;993,5;#N/A N/A;68,41;#N/A N/A;410,1;1539;60,76;74,24;420,7;1811;925;154,7;#N/A N/A;12,5;60,55;31;13,365;3457;884,9;#N/A N/A;132,4;53,74;190,95;18,38;74,99;102,05;73,35;107,6;32,005;6825;3450;233,5;261,8;37,955;643,5;75,62;83,8;86,49;67,55;45,84;102,9;752,9;41,84;106,112;24,08;55,4;15,475;65,84;43,875;240
23/01/2017;75,0582;47,485;34,94;105,25;84,8347;65,45;43,175;4255,5;27,64;75,0582;7,518;2829;50,0833;86,197;59,18;71,25;34,94;487,15;14,68;2126;17,955;1462,24;1462,24;67,2;3441,951;59,05;19,27;2146;995;#N/A N/A;68,76;#N/A N/A;410,4;1534;60,37;73,75;421,1;1819;916,5;154,5;#N/A N/A;12,5;60,75;31,065;13,2;3444;886;#N/A N/A;132,54;53,7;190,35;18,52;74,77;100,95;73,1;108,8;31,715;6864;3474,5;232,2;259,5;37,96;631;74,84;82,87;84,27;67,12;44,835;103,15;749,6;41,82;106,243;23,9;55,25;15,765;66,9;43,74;240,3
24/01/2017;75,1414;47,64;34,965;105,1;84,9174;65,56;42,975;4215;27,93;75,1414;7,496;2822;50,4333;87,389;59,9;72,15;34,965;489,7;14,68;2081;18,22;1468,48;1468,48;68,55;3447,073;58,93;19,15;2165;1016;#N/A N/A;68,41;#N/A N/A;413,35;1539;60;73,19;422;1822;915,5;154,9;#N/A N/A;12,75;61,5;31,02;13,25;3429;888;#N/A N/A;133,04;53,51;189,05;18,59;73,83;101,15;73,35;109,55;31,84;6795;3615;231,4;256,9;37,89;631,5;73,89;83,46;84,58;67,7;45,8;103;763;42;106,236;24,29;56,8;15,785;66,56;43,955;239,2
25/01/2017;76,2605;48,015;35,055;105,45;85,6612;65,39;43,27;4262,5;27,85;76,2605;7,671;2799;50,0333;88,9;62,39;72;35,055;488,05;14,68;2084;18,395;1458,08;1458,08;70,56;3470,634;58,95;18,78;2141;1019;#N/A N/A;68,47;#N/A N/A;416;1545;61,26;73,72;427;1840;925,5;155,8;#N/A N/A;13,125;61,45;31,12;13,655;3465;891,3;#N/A N/A;135,09;54,38;191,4;18,25;74,49;102,4;73,8;108,95;32,53;6812;3575;234,8;258,1;37,755;633,5;74,24;84,66;85,51;68,72;47,78;103,65;788,8;42,07;106,462;24,49;58;15,875;66,65;44,165;236,8
26/01/2017;76,2227;47,8;34,71;104,95;85,4959;64,91;43,87;4298;27,77;76,2227;7,564;2817;49,9833;87,778;61,64;72,9;34,71;485,4;14,68;2071;18,385;1447,68;1447,68;70,05;3472,683;58,91;19,1;2218;1014;#N/A N/A;67,65;#N/A N/A;424,6;1532;61,12;74,68;428,5;1814;926;154,7;#N/A N/A;13,25;61,45;30,84;13,695;3476;892,6;#N/A N/A;133,83;54,34;190,45;18,06;74,04;101,65;72,8;110,75;32,69;6842;3533,5;235,7;255,7;37,425;599;74,62;85,02;84,88;68,39;47,545;104,4;789,2;41,575;106,338;24,08;58,03;15,915;65,85;44,84;236,3
27/01/2017;75,406;47,225;34,69;104,25;84,5041;64,67;43,77;4239;27,76;75,406;7,531;2836;49,8333;87,44;61,45;72,1;34,69;486,8;14,68;2090;18,37;1473,68;1473,68;70,5;3489,073;58,6;19,27;2244;1017;#N/A N/A;67,64;#N/A N/A;425,5;1549;60,1;74,7;425;1825;929,5;153,9;#N/A N/A;13,25;62;30,85;13,66;3447;887,6;#N/A N/A;133,63;54,3;186,85;17,96;74,95;101,7;73,15;110,45;32,135;6870;3567,5;236,3;258,3;37,8;610;74,49;85,23;84,5;68,22;47,37;104,25;781,6;41,5;106,095;24,32;57,66;15,965;65,56;45,065;238,1
